34180,1026,1.67
34180,2051,1.64
34180,3075,1.63
34180,1028,3.75
34180,3076,1.18
34180,3079,2.25
34180,3081,1.68
34180,1034,1.68
34180,3083,1.77
34180,2062,2.14
34180,2065,4.28
34180,3099,4.46
34180,3103,3.87
34180,3104,1.79
34180,2083,1.47
34180,1061,4.16
34180,3110,1.26
34180,1065,1.33
34180,1071,2.08
34180,1073,1.33
34180,1074,1.65
34180,3132,3.66
34180,1086,4.8
34180,3135,3.84
34180,1089,4.11
34180,1094,4.42
34180,1098,3.76
34180,3147,1.26
34180,3153,1.42
34180,3154,1.15
34180,1112,3.67
34180,3161,3.91
34180,1119,1.32
34180,1129,3.83
34180,2157,1.55
34180,3187,1.61
34180,3189,1.69
34180,1143,3.66
34180,2167,1.17
34180,1144,1.67
34180,1145,4.72
34180,1146,3.73
34180,1147,4.47
34180,1148,1.87
34180,1149,4.65
34180,1150,1.19
34180,1151,3.67
34180,1152,3.71
34180,1153,3.74
34180,1154,4.63
34180,3202,4.1
34180,1155,3.9
34180,1157,4.36
34180,3205,2.04
34180,1158,3.63
34180,1159,3.78
34180,1160,4.55
34180,3208,1.06
34180,1161,4.72
34180,1163,1.37
34180,3212,1.65
34180,1165,4.46
34180,1166,4.5
34180,1167,1.26
34180,1168,4.18
34180,1169,4.44
34180,1170,1.59
34180,1171,3.61
34180,2195,1.65
34180,1172,1.75
34180,3220,3.92
34180,1173,1.28
34180,1174,1.59
34180,1175,3.92
34180,1176,3.76
34180,1180,3.73
34180,1181,4.46
34180,1182,3.84
34180,1183,4.45
34180,1184,4.12
34180,1185,3.63
34180,1186,3.67
34180,1187,4.65
34180,1188,4.25
34180,1189,3.68
34180,1190,3.82
34180,1191,2.45
34180,1192,4.74
34180,3240,4.69
34180,1193,3.78
34180,1196,3.74
34180,1197,3.61
34180,2223,4.73
34180,1200,4.18
34180,3248,1.76
34180,1201,3.78
34180,1202,3.73
34180,1203,4.38
34180,1204,1.43
34180,1205,3.84
34180,1206,4.3
34180,1208,4.14
34180,1209,4.37
34180,1210,3.91
34180,2234,1.3
34180,1212,3.79
34180,1213,3.72
34180,1214,4.49
34180,3262,1.51
34180,1215,3.74
34180,2239,1.6
34180,1216,3.75
34180,1217,3.69
34180,1218,3.85
34180,1219,3.77
34180,1220,3.68
34180,1222,1.09
34180,1223,1.77
34180,1224,3.94
34180,1225,3.85
34180,1227,3.9
34180,1228,3.99
